Data Source,Tag,Name,Parent FQN,Type
,,tb1-process-model,gateway,model
,,cap_weight,tb1-process-model,node
tb1-process-plc,Production_History[0].Cap_Weight,Production_History[0].Cap_Weight,tb1-process-model.cap_weight,property
,,capping_station_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Complete,Production_History[0].Capping_Station_Complete,tb1-process-model.capping_station_complete,property
,,capping_station_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Duration,Production_History[0].Capping_Station_Duration,tb1-process-model.capping_station_duration,property
,,capping_station_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Day,Production_History[0].Capping_Station_Finish_Time.Day,tb1-process-model.capping_station_finish_time.day,property
,,capping_station_finish_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Hour,Production_History[0].Capping_Station_Finish_Time.Hour,tb1-process-model.capping_station_finish_time.hour,property
,,capping_station_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.MicroSecond,Production_History[0].Capping_Station_Finish_Time.MicroSecond,tb1-process-model.capping_station_finish_time.microsecond,property
,,capping_station_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Minute,Production_History[0].Capping_Station_Finish_Time.Minute,tb1-process-model.capping_station_finish_time.minute,property
,,capping_station_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Month,Production_History[0].Capping_Station_Finish_Time.Month,tb1-process-model.capping_station_finish_time.month,property
,,capping_station_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Second,Production_History[0].Capping_Station_Finish_Time.Second,tb1-process-model.capping_station_finish_time.second,property
,,capping_station_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Year,Production_History[0].Capping_Station_Finish_Time.Year,tb1-process-model.capping_station_finish_time.year,property
,,capping_station_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Op_Required,Production_History[0].Capping_Station_Op_Required,tb1-process-model.capping_station_op_required,property
,,capping_station_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Day,Production_History[0].Capping_Station_Start_Time.Day,tb1-process-model.capping_station_start_time.day,property
,,capping_station_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Hour,Production_History[0].Capping_Station_Start_Time.Hour,tb1-process-model.capping_station_start_time.hour,property
,,capping_station_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.MicroSecond,Production_History[0].Capping_Station_Start_Time.MicroSecond,tb1-process-model.capping_station_start_time.microsecond,property
,,capping_station_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Minute,Production_History[0].Capping_Station_Start_Time.Minute,tb1-process-model.capping_station_start_time.minute,property
,,capping_station_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Month,Production_History[0].Capping_Station_Start_Time.Month,tb1-process-model.capping_station_start_time.month,property
,,capping_station_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Second,Production_History[0].Capping_Station_Start_Time.Second,tb1-process-model.capping_station_start_time.second,property
,,capping_station_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Year,Production_History[0].Capping_Station_Start_Time.Year,tb1-process-model.capping_station_start_time.year,property
,,current_vehicle_id,tb1-process-model,node
tb1-process-plc,Production_History[0].Current_Vehicle_ID,Production_History[0].Current_Vehicle_ID,tb1-process-model.current_vehicle_id,property
,,dry_fill_color1_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Dispensed,Production_History[0].Dry_Fill_Color1_Count_Dispensed,tb1-process-model.dry_fill_color1_count_dispensed,property
,,dry_fill_color1_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Required,Production_History[0].Dry_Fill_Color1_Count_Required,tb1-process-model.dry_fill_color1_count_required,property
,,dry_fill_color2_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Dispensed,Production_History[0].Dry_Fill_Color2_Count_Dispensed,tb1-process-model.dry_fill_color2_count_dispensed,property
,,dry_fill_color2_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Required,Production_History[0].Dry_Fill_Color2_Count_Required,tb1-process-model.dry_fill_color2_count_required,property
,,dry_fill_color3_count_dispensed,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Dispensed,Production_History[0].Dry_Fill_Color3_Count_Dispensed,tb1-process-model.dry_fill_color3_count_dispensed,property
,,dry_fill_color3_count_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Required,Production_History[0].Dry_Fill_Color3_Count_Required,tb1-process-model.dry_fill_color3_count_required,property
,,dry_fill_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Complete,Production_History[0].Dry_Fill_Complete,tb1-process-model.dry_fill_complete,property
,,dry_fill_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Duration,Production_History[0].Dry_Fill_Duration,tb1-process-model.dry_fill_duration,property
,,dry_fill_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Day,Production_History[0].Dry_Fill_Finish_Time.Day,tb1-process-model.dry_fill_finish_time.day,property
,,dry_fill_finish_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Hour,Production_History[0].Dry_Fill_Finish_Time.Hour,tb1-process-model.dry_fill_finish_time.hour,property
,,dry_fill_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.MicroSecond,Production_History[0].Dry_Fill_Finish_Time.MicroSecond,tb1-process-model.dry_fill_finish_time.microsecond,property
,,dry_fill_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Minute,Production_History[0].Dry_Fill_Finish_Time.Minute,tb1-process-model.dry_fill_finish_time.minute,property
,,dry_fill_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Month,Production_History[0].Dry_Fill_Finish_Time.Month,tb1-process-model.dry_fill_finish_time.month,property
,,dry_fill_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Second,Production_History[0].Dry_Fill_Finish_Time.Second,tb1-process-model.dry_fill_finish_time.second,property
,,dry_fill_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Year,Production_History[0].Dry_Fill_Finish_Time.Year,tb1-process-model.dry_fill_finish_time.year,property
,,dry_fill_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Op_Required,Production_History[0].Dry_Fill_Op_Required,tb1-process-model.dry_fill_op_required,property
,,dry_fill_pos1_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos1_Color,Production_History[0].Dry_Fill_Pos1_Color,tb1-process-model.dry_fill_pos1_color,property
,,dry_fill_pos2_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos2_Color,Production_History[0].Dry_Fill_Pos2_Color,tb1-process-model.dry_fill_pos2_color,property
,,dry_fill_pos3_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos3_Color,Production_History[0].Dry_Fill_Pos3_Color,tb1-process-model.dry_fill_pos3_color,property
,,dry_fill_pos4_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos4_Color,Production_History[0].Dry_Fill_Pos4_Color,tb1-process-model.dry_fill_pos4_color,property
,,dry_fill_pos5_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos5_Color,Production_History[0].Dry_Fill_Pos5_Color,tb1-process-model.dry_fill_pos5_color,property
,,dry_fill_pos6_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos6_Color,Production_History[0].Dry_Fill_Pos6_Color,tb1-process-model.dry_fill_pos6_color,property
,,dry_fill_pos7_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Pos7_Color,Production_History[0].Dry_Fill_Pos7_Color,tb1-process-model.dry_fill_pos7_color,property
,,dry_fill_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Day,Production_History[0].Dry_Fill_Start_Time.Day,tb1-process-model.dry_fill_start_time.day,property
,,dry_fill_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Hour,Production_History[0].Dry_Fill_Start_Time.Hour,tb1-process-model.dry_fill_start_time.hour,property
,,dry_fill_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.MicroSecond,Production_History[0].Dry_Fill_Start_Time.MicroSecond,tb1-process-model.dry_fill_start_time.microsecond,property
,,dry_fill_start_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Minute,Production_History[0].Dry_Fill_Start_Time.Minute,tb1-process-model.dry_fill_start_time.minute,property
,,dry_fill_start_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Month,Production_History[0].Dry_Fill_Start_Time.Month,tb1-process-model.dry_fill_start_time.month,property
,,dry_fill_start_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Second,Production_History[0].Dry_Fill_Start_Time.Second,tb1-process-model.dry_fill_start_time.second,property
,,dry_fill_start_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Year,Production_History[0].Dry_Fill_Start_Time.Year,tb1-process-model.dry_fill_start_time.year,property
,,inspect_station_vision_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Complete,Production_History[0].Inspect_Station_Vision_Complete,tb1-process-model.inspect_station_vision_complete,property
,,inspect_station_vision_dryfill_count,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count,Production_History[0].Inspect_Station_Vision_DryFill_Count,tb1-process-model.inspect_station_vision_dryfill_count,property
,,inspect_station_vision_dryfill_count_blu,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,tb1-process-model.inspect_station_vision_dryfill_count_blu,property
,,inspect_station_vision_dryfill_count_red,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,tb1-process-model.inspect_station_vision_dryfill_count_red,property
,,inspect_station_vision_dryfill_count_yel,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,tb1-process-model.inspect_station_vision_dryfill_count_yel,property
,,inspect_station_vision_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Op_Required,Production_History[0].Inspect_Station_Vision_Op_Required,tb1-process-model.inspect_station_vision_op_required,property
,,inspect_station_vision_passfail,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_PassFail,Production_History[0].Inspect_Station_Vision_PassFail,tb1-process-model.inspect_station_vision_passfail,property
,,inspect_station_vision_pos1_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos1_Color,Production_History[0].Inspect_Station_Vision_Pos1_Color,tb1-process-model.inspect_station_vision_pos1_color,property
,,inspect_station_vision_pos2_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos2_Color,Production_History[0].Inspect_Station_Vision_Pos2_Color,tb1-process-model.inspect_station_vision_pos2_color,property
,,inspect_station_vision_pos3_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos3_Color,Production_History[0].Inspect_Station_Vision_Pos3_Color,tb1-process-model.inspect_station_vision_pos3_color,property
,,inspect_station_vision_pos4_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos4_Color,Production_History[0].Inspect_Station_Vision_Pos4_Color,tb1-process-model.inspect_station_vision_pos4_color,property
,,inspect_station_vision_pos5_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos5_Color,Production_History[0].Inspect_Station_Vision_Pos5_Color,tb1-process-model.inspect_station_vision_pos5_color,property
,,inspect_station_vision_pos6_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos6_Color,Production_History[0].Inspect_Station_Vision_Pos6_Color,tb1-process-model.inspect_station_vision_pos6_color,property
,,inspect_station_vision_pos7_color,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos7_Color,Production_History[0].Inspect_Station_Vision_Pos7_Color,tb1-process-model.inspect_station_vision_pos7_color,property
,,inspect_station_vision_vialrgb_blu_lower,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Lower,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Lower,tb1-process-model.inspect_station_vision_vialrgb_blu_lower,property
,,inspect_station_vision_vialrgb_blu_upper,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Upper,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Upper,tb1-process-model.inspect_station_vision_vialrgb_blu_upper,property
,,inspect_station_vision_vialrgb_blue,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blue,Production_History[0].Inspect_Station_Vision_VialRGB_Blue,tb1-process-model.inspect_station_vision_vialrgb_blue,property
,,inspect_station_vision_vialrgb_gre_lower,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Lower,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Lower,tb1-process-model.inspect_station_vision_vialrgb_gre_lower,property
,,inspect_station_vision_vialrgb_gre_upper,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Upper,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Upper,tb1-process-model.inspect_station_vision_vialrgb_gre_upper,property
,,inspect_station_vision_vialrgb_green,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Green,Production_History[0].Inspect_Station_Vision_VialRGB_Green,tb1-process-model.inspect_station_vision_vialrgb_green,property
,,inspect_station_vision_vialrgb_red,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red,Production_History[0].Inspect_Station_Vision_VialRGB_Red,tb1-process-model.inspect_station_vision_vialrgb_red,property
,,inspect_station_vision_vialrgb_red_lower,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Lower,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Lower,tb1-process-model.inspect_station_vision_vialrgb_red_lower,property
,,inspect_station_vision_vialrgb_red_upper,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Upper,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Upper,tb1-process-model.inspect_station_vision_vialrgb_red_upper,property
,,inspect_station_weighcheck_complete,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Complete,Production_History[0].Inspect_Station_WeighCheck_Complete,tb1-process-model.inspect_station_weighcheck_complete,property
,,inspect_station_weighcheck_data,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Data,Production_History[0].Inspect_Station_WeighCheck_Data,tb1-process-model.inspect_station_weighcheck_data,property
,,inspect_station_weighcheck_lower_limit,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Lower_Limit,Production_History[0].Inspect_Station_WeighCheck_Lower_Limit,tb1-process-model.inspect_station_weighcheck_lower_limit,property
,,inspect_station_weighcheck_op_required,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Op_Required,Production_History[0].Inspect_Station_WeighCheck_Op_Required,tb1-process-model.inspect_station_weighcheck_op_required,property
,,inspect_station_weighcheck_passfail,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_PassFail,Production_History[0].Inspect_Station_WeighCheck_PassFail,tb1-process-model.inspect_station_weighcheck_passfail,property
,,inspect_station_weighcheck_upper_limit,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Upper_Limit,Production_History[0].Inspect_Station_WeighCheck_Upper_Limit,tb1-process-model.inspect_station_weighcheck_upper_limit,property
,,inspect_vision_duration,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Duration,Production_History[0].Inspect_Vision_Duration,tb1-process-model.inspect_vision_duration,property
,,inspect_vision_finish_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Day,Production_History[0].Inspect_Vision_Finish_Time.Day,tb1-process-model.inspect_vision_finish_time.day,property
,,inspect_vision_finish_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Hour,Production_History[0].Inspect_Vision_Finish_Time.Hour,tb1-process-model.inspect_vision_finish_time.hour,property
,,inspect_vision_finish_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.MicroSecond,Production_History[0].Inspect_Vision_Finish_Time.MicroSecond,tb1-process-model.inspect_vision_finish_time.microsecond,property
,,inspect_vision_finish_time.minute,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Minute,Production_History[0].Inspect_Vision_Finish_Time.Minute,tb1-process-model.inspect_vision_finish_time.minute,property
,,inspect_vision_finish_time.month,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Month,Production_History[0].Inspect_Vision_Finish_Time.Month,tb1-process-model.inspect_vision_finish_time.month,property
,,inspect_vision_finish_time.second,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Second,Production_History[0].Inspect_Vision_Finish_Time.Second,tb1-process-model.inspect_vision_finish_time.second,property
,,inspect_vision_finish_time.year,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Year,Production_History[0].Inspect_Vision_Finish_Time.Year,tb1-process-model.inspect_vision_finish_time.year,property
,,inspect_vision_start_time.day,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Day,Production_History[0].Inspect_Vision_Start_Time.Day,tb1-process-model.inspect_vision_start_time.day,property
,,inspect_vision_start_time.hour,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Hour,Production_History[0].Inspect_Vision_Start_Time.Hour,tb1-process-model.inspect_vision_start_time.hour,property
,,inspect_vision_start_time.microsecond,tb1-process-model,node
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.MicroSecond,Production_History[0].Inspect_Vision_Start_Time.MicroSecond,tb1-process-model.inspect_vision_start_time.microsecond,property
,,inspect_vision_start_time.minute,tb1-process-model,node
