Data Source,Tag,Name,Parent FQN,Type
,,tb1_process_do,gateway,model
,,FinishedVial,tb1_process_do,node
tb1-process-plc,Production_History[0].Current_Vehicle_ID,CurrentVehicleID,tb1_process_do.FinishedVial,property
tb1-process-plc,Production_History[0].Manual_Recipe_Number,ManualRecipeNumber,tb1_process_do.FinishedVial,property
tb1-process-plc,Production_History[0].MES_Schedule_Unique_ID,MESScheduleUniqueID,tb1_process_do.FinishedVial,property
tb1-process-plc,Production_History[0].Vial_Empty_Weight,VialEmptyWeight,tb1_process_do.FinishedVial,property
,,Process,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Process_Duration,Duration,tb1_process_do.FinishedVial.Process,property
,,FinishTime,tb1_process_do.FinishedVial.Process,node
tb1-process-plc,Production_History[0].Process_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Process.FinishTime,property
tb1-process-plc,Production_History[0].Process_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Process.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Process,node
tb1-process-plc,Production_History[0].Process_Start_Time.Day,Day,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.Month,Month,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.Second,Second,tb1_process_do.FinishedVial.Process.StartTime,property
tb1-process-plc,Production_History[0].Process_Start_Time.Year,Year,tb1_process_do.FinishedVial.Process.StartTime,property
,,CappingStation,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Cap_Weight,CapWeight,tb1_process_do.FinishedVial.CappingStation,property
tb1-process-plc,Production_History[0].Capping_Station_Complete,Complete,tb1_process_do.FinishedVial.CappingStation,property
tb1-process-plc,Production_History[0].Capping_Station_Duration,Duration,tb1_process_do.FinishedVial.CappingStation,property
tb1-process-plc,Production_History[0].Capping_Station_Op_Required,OpRequired,tb1_process_do.FinishedVial.CappingStation,property
,,StartTime,tb1_process_do.FinishedVial.CappingStation,node
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Day,Day,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Month,Month,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Second,Second,tb1_process_do.FinishedVial.CappingStation.StartTime,property
tb1-process-plc,Production_History[0].Capping_Station_Start_Time.Year,Year,tb1_process_do.FinishedVial.CappingStation.StartTime,property
,,FinishTime,tb1_process_do.FinishedVial.CappingStation,node
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Day,Day,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Month,Month,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Second,Second,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
tb1-process-plc,Production_History[0].Capping_Station_Finish_Time.Year,Year,tb1_process_do.FinishedVial.CappingStation.FinishTime,property
,,DryFill,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Dispensed,Color1CountDispensed,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Color1_Count_Required,Color1CountRequired,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Dispensed,Color2CountDispensed,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Color2_Count_Required,Color2CountRequired,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Dispensed,Color3CountDispensed,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Color3_Count_Required,Color3CountRequired,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Complete,Complete,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Duration,Duration,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Op_Required,OpRequired,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos1_Color,Pos1Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos2_Color,Pos2Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos3_Color,Pos3Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos4_Color,Pos4Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos5_Color,Pos5Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos6_Color,Pos6Color,tb1_process_do.FinishedVial.DryFill,property
tb1-process-plc,Production_History[0].Dry_Fill_Pos7_Color,Pos7Color,tb1_process_do.FinishedVial.DryFill,property
,,StartTime,tb1_process_do.FinishedVial.DryFill,node
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Day,Day,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Month,Month,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Second,Second,tb1_process_do.FinishedVial.DryFill.StartTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Start_Time.Year,Year,tb1_process_do.FinishedVial.DryFill.StartTime,property
,,FinishTime,tb1_process_do.FinishedVial.DryFill,node
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Day,Day,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Month,Month,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Year,Year,tb1_process_do.FinishedVial.DryFill.FinishTime,property
tb1-process-plc,Production_History[0].Dry_Fill_Finish_Time.Second,Second,tb1_process_do.FinishedVial.DryFill.FinishTime,property
,,InspectStation,tb1_process_do.FinishedVial,node
,,Vision,tb1_process_do.FinishedVial.InspectStation,node
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Complete,Complete,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count,DryFillCount,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Blu,DryFillCountBlu,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Red,DryFillCountRed,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_DryFill_Count_Yel,DryFillCountYel,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Op_Required,OpRequired,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_PassFail,PassFail,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos1_Color,Pos1Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos2_Color,Pos2Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos3_Color,Pos3Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos4_Color,Pos4Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos5_Color,Pos5Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos6_Color,Pos6Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_Pos7_Color,Pos7Color,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Lower,VialRGBBluLower,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blu_Upper,VialRGBBluUpper,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Blue,VialRGBBlue,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Lower,VialRGBGreLower,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Gre_Upper,VialRGBGreUpper,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Green,VialRGBGreen,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red,VialRGBRed,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Lower,VialRGBRedLower,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Station_Vision_VialRGB_Red_Upper,VialRGBRedUpper,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Vision_Wait_on_Robot,WaitonRobot,tb1_process_do.FinishedVial.InspectStation.Vision,property
tb1-process-plc,Production_History[0].Inspect_Vision_Duration,Duration,tb1_process_do.FinishedVial.InspectStation.Vision,property
,,FinishTime,tb1_process_do.FinishedVial.InspectStation.Vision,node
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Finish_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.Vision.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.InspectStation.Vision,node
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
tb1-process-plc,Production_History[0].Inspect_Vision_Start_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.Vision.StartTime,property
,,WeighCheck,tb1_process_do.FinishedVial.InspectStation,node
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Complete,Complete,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Data,Data,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Lower_Limit,LowerLimit,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Op_Required,OpRequired,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_PassFail,PassFail,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_Station_WeighCheck_Upper_Limit,UpperLimit,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Duration,Duration,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Wait_on_Robot,WaitonRobot,tb1_process_do.FinishedVial.InspectStation.WeighCheck,property
,,FinishTime,tb1_process_do.FinishedVial.InspectStation.WeighCheck,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Finish_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.WeighCheck.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.InspectStation.WeighCheck,node
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Day,Day,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Month,Month,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Second,Second,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
tb1-process-plc,Production_History[0].Inspect_WeighCheck_Start_Time.Year,Year,tb1_process_do.FinishedVial.InspectStation.WeighCheck.StartTime,property
,,Station1,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Station_1_Check_n_Load_Duration,ChecknLoadDuration,tb1_process_do.FinishedVial.Station1,property
,,FinishTime,tb1_process_do.FinishedVial.Station1,node
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Station1.FinishTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Station1.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Station1,node
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Day,Day,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Month,Month,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Second,Second,tb1_process_do.FinishedVial.Station1.StartTime,property
tb1-process-plc,Production_History[0].Station1_Check_n_Load_Start_Time.Year,Year,tb1_process_do.FinishedVial.Station1.StartTime,property
,,Station9,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Station9_Reject_Duration,RejectDuration,tb1_process_do.FinishedVial.Station9,property
,,FinishTime,tb1_process_do.FinishedVial.Station9,node
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Station9.FinishTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Station9.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Station9,node
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Day,Day,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Minute,Minute,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Month,Month,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Second,Second,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Reject_Start_Time.Year,Year,tb1_process_do.FinishedVial.Station9.StartTime,property
tb1-process-plc,Production_History[0].Station9_Wait_on_Robot,WaitonRobot,tb1_process_do.FinishedVial.Station9.StartTime,property
,,Unload,tb1_process_do.FinishedVial,node
tb1-process-plc,Production_History[0].Unload_Duration,Duration,tb1_process_do.FinishedVial.Unload,property
,,FinishTime,tb1_process_do.FinishedVial.Unload,node
tb1-process-plc,Production_History[0].Unload_Finish_Time.Day,Day,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Hour,Hour,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.MicroSecond,MicroSecond,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Minute,Minute,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Month,Month,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Second,Second,tb1_process_do.FinishedVial.Unload.FinishTime,property
tb1-process-plc,Production_History[0].Unload_Finish_Time.Year,Year,tb1_process_do.FinishedVial.Unload.FinishTime,property
,,StartTime,tb1_process_do.FinishedVial.Unload,node
tb1-process-plc,Production_History[0].Unload_Start_Time.Day,Day,tb1_process_do.FinishedVial.Unload.StartTime,property
tb1-process-plc,Production_History[0].Unload_Start_Time.Hour,Hour,tb1_process_do.FinishedVial.Unload.StartTime,property
